Id,StopID,Name,Lat,Lon,Routes
4000421,4000421,N BEAUREGARD ST + BRANCH AVE,38.840509,-77.109563,"['7A', '7A*3', '7Y']"
4000422,4000422,MARTHA CUSTIS DR + GUNSTON RD,38.840586,-77.083092,"['23A', '23B']"
4000423,4000423,MARTHA CUSTIS DR + GUNSTON RD,38.840609,-77.083286,"['23A', '23B']"
4000424,4000424,N BEAUREGARD ST + BRANCH AVE,38.84035,-77.109314,"['7A', '7A*3', '7Y']"
4000425,4000425,KING ST + N BEAUREGARD ST,38.840471,-77.106453,"['7A', '7A*3']"
4000429,4000429,VALLEY DR + TENNESSEE AVE,38.841726,-77.075177,"['23A', '23B']"
4000430,4000430,VALLEY DR + TENNESSEE AVE,38.841772,-77.0754,"['23A', '23B']"
4000431,4000431,MT VERNON AVE + EXECUTIVE AVE,38.841991,-77.063462,"['10A', '10B', '23A', '23B']"
4000432,4000432,MARTHA CUSTIS DR + PARC EAST CONDOS,38.842053,-77.080631,"['23A', '23B']"
4000433,4000433,MARTHA CUSTIS DR + PARC EAST CONDOS,38.842216,-77.080497,"['23A', '23B']"
4000434,4000434,MT VERNON AVE + EXECUTIVE AVE,38.842196,-77.063756,"['10A', '10B', '23A', '23B']"
4000447,4000447,GIBBON ST + S COLUMBUS ST,38.799651,-77.04983,['10A']
4000449,4000449,FRANKLIN ST + S ALFRED ST,38.798442,-77.05091,['10A']
4000459,4000459,S REYNOLDS ST + ESSEX HOUSE,38.808783,-77.129885,"['25B', '25B*1']"
4000467,4000467,N BEAUREGARD ST + QUANTRELL AVE,38.821328,-77.136398,"['7A', '7A*3', '7F', '7F*2']"
4000469,4000469,BRADDOCK ROAD STATION + BUS BAY B,38.814001,-77.053559,['MW1']
4000472,4000472,N BEAUREGARD ST + N BEAUREGARD ST,38.832961,-77.122585,"['7A', '7A*3', '7F', '7F*2']"
4000478,4000478,BRADDOCK RD STA + BUS BAY A,38.814079,-77.053507,"['10A', '10B']"
4000479,4000479,E BRADDOCK RD + MT VERNON AVE,38.81348,-77.055439,"['10A', '10B']"
4000481,4000481,DULANEY ST + DUKE ST,38.804364,-77.063302,"['NH2', 'REX', 'REX*', 'REX/']"
4000484,4000484,S REYNOLDS ST + #240,38.811475,-77.127096,"['25B', '25B*2']"
4000489,4000489,SEMINARY RD + N HOWARD ST,38.824126,-77.104869,"['25B', '25B*1']"
4000495,4000495,EISENHOWER AVE + SWAMP FOX RD,38.801162,-77.071422,"['NH2', 'REX', 'REX*', 'REX/']"
4000496,4000496,EISENHOWER AVE + SWAMP FOX RD,38.801432,-77.071737,"['REX', 'REX*2']"
4000576,4000576,LANDMARK MALL NORTH SIDE + RUBY TUESDAY MALL ENTRANCE,38.817157,-77.131135,"['25B', '29K', '29N']"
4000598,4000598,BRADDOCK RD STA + BUS BAY D,38.813535,-77.053885,"['10A', '10B']"
4000663,4000663,W GLEBE RD + FLORENCE DR,38.841735,-77.071715,"['23A', '23B']"
4000765,4000765,W GLEBE RD + FLORENCE DR (X),38.841392,-77.071083,"['23A', '23B']"
4000776,4000776,W GLEBE RD + EXECUTIVE AVE,38.838856,-77.065246,"['23A', '23B']"
4000777,4000777,W GLEBE RD + EXECUTIVE AVE,38.839218,-77.065651,"['23A', '23B']"
4000779,4000779,W GLEBE RD + OLD DOMINION BLVD,38.839832,-77.067229,"['23A', '23B']"
4000781,4000781,W GLEBE RD + MILAN DR,38.841248,-77.069969,"['23A', '23B']"
4000782,4000782,W GLEBE RD + #908,38.842002,-77.073089,"['23A', '23B']"
4000783,4000783,W GLEBE RD + VALLEY DR,38.842208,-77.07338,"['23A', '23B']"
4000794,4000794,W GLEBE RD + OLD DOMINION BLVD,38.840617,-77.068107,"['23A', '23B']"
4000880,4000880,KING ST + KENWOOD AVE,38.825137,-77.084727,['28A']
4000890,4000890,W BRADDOCK RD + N HAMPTON DR,38.834437,-77.109121,['22F']
4000891,4000891,W BRADDOCK RD + N HAMPTON DR,38.834038,-77.108604,['22F']
4000892,4000892,DAWES AVE + SEMINARY RD,38.839808,-77.120091,"['25B', '25B*1', '25B*2']"
4000893,4000893,DAWES AVE + SEMINARY RD,38.839587,-77.120329,"['25B', '25B*1', '25B/']"
4000899,4000899,VA-401 + W BRADDOCK RD,38.831544,-77.107213,['22F']
4000900,4000900,VA-401 + W BRADDOCK RD,38.831564,-77.10665,['22F']
4000903,4000903,S WASHINGTON ST NORTHBOUND + HUNTING POINT,38.792778,-77.049531,['10B']
4000984,4000984,N HAMPTON DR + FORD AVE,38.836714,-77.106448,"['7F', '7F*2']"
4000986,4000986,N HAMPTON DR + #3101,38.837966,-77.105947,"['7F', '7F*2']"
4000987,4000987,N HAMPTON DR + FORD AVE,38.836804,-77.106191,"['7F', '7F*2']"
4000992,4000992,KING ST + T.C. WILLIAMS HS,38.824655,-77.084318,['28A']
4000993,4000993,W BRADDOCK RD + MARLEE WAY,38.827244,-77.091353,['28A']
4000994,4000994,W BRADDOCK RD + MARLEE WAY,38.827003,-77.090783,['28A']
4000999,4000999,SEMINARY RD + N IVANHOE ST,38.82429,-77.105362,['28A']
4001011,4001011,METRO RD + SUMMERS GROVE RD,38.80019,-77.13127,"['25B', '25B*1']"
4001013,4001013,MARK CENTER TRANSIT STATION + BUS BAY 5,38.832313,-77.115861,"['7A', '7A*3', '7F', '7F*2']"
4001015,4001015,MARK CENTER TRANSIT STATION + BUS BAY 1,38.831528,-77.117531,['7M']
4001018,4001018,MARK CENTER DR (EAST- WEST) + MARK CENTER DR (NORTH- SOUTH),38.831612,-77.117834,"['7A', '7A*3', '7F', '7F*2']"
4001019,4001019,DULANY ST + DUKE ST,38.804423,-77.063526,"['NH2', 'REX', 'REX*2']"
4001020,4001020,MARK CENTER DR + BEAUREGARD ST,38.832837,-77.119681,"['7A', '7A*3', '7F', '7F*2', '7M']"
4001025,4001025,W CAMPUS DR + BISDORF DR,38.840866,-77.115499,"['25B', '25B*1', '25B*2', '25B/']"
4001026,4001026,KING ST + S 28TH ST,38.8395,-77.105504,"['7F', '7F*2']"
4001032,4001032,S WASHINGTON ST + CHURCH ST,38.795,-77.048983,['10B']
4001057,4001057,BEAUREGARD ST + RT 7 KING ST,38.841403,-77.108631,"['7A', '7A*3', '7Y']"
4001058,4001058,RT 1 JEFFERSON DAVIS HWY + POTOMAC AVE,38.823011,-77.049917,['MW1']
4001059,4001059,RT 1 JEFFERSON DAVIS HWY + POTOMAC AVE,38.822811,-77.050021,['MW1']
4001060,4001060,RT 1 JEFF DAVIS HWY + E CUSTIS AVE,38.826453,-77.050336,['MW1']
4001061,4001061,RT 1 JEFF DAVIS HWY + E CUSTIS AVE,38.825674,-77.050356,['MW1']
4001062,4001062,RT 1 JEFF DAVIS HWY + E SWANN AVE,38.829771,-77.050767,['MW1']
4001063,4001063,RT 1 JEFF DAVIS HWY + E SWANN AVE,38.828911,-77.05078,['MW1']
4001064,4001064,JEFFERSON DAVIS HWY + E GLEBE RD,38.831978,-77.051181,['MW1']
4001065,4001065,E GLEBE RD + JEFFERSON DAVIS HWY ,38.832341,-77.050511,['MW1']
4001066,4001066,POTOMAC AVE + REED AVE,38.837555,-77.048893,['MW1']
4001067,4001067,POTOMAC AVE + REED AVE,38.837052,-77.049032,['MW1']
4001073,4001073,MT VERNON AVE + FOUR MILE RD,38.843193,-77.064013,"['10A', '10B', '23A', '23B']"
4001074,4001074,TANEY AVE + NAYLOR RD,38.818008,-77.115295,"['25B', '25B*1']"
4001075,4001075,MILL RD + EISENHOWER AVE,38.801167,-77.06742,"['NH2', 'REX', 'REX*2']"
4001083,4001083,1ST ST + N FAYETTE ST,38.815951,-77.050483,['MW1']
4001084,4001084,FIRST ST + N FAYETTE ST,38.816105,-77.050704,['MW1']
4001086,4001086,RT 236 DUKE ST + N DONELSON ST,38.810569,-77.098495,"['29K', '29K*1', '29N', '29N*1']"
4001087,4001087,FILLMORE AVE + BISDORF (F/S),38.83847,-77.116187,"['22F', '25B', '25B*1', '25B/', '28A']"
4001088,4001088,GW MEMORIAL PKY + THORNTON WAY,38.792484,-77.049965,['10B']
4001089,4001089,KING STREET STA - BUS BAY A,38.806023,-77.060371,"['NH2', 'REX', 'REX*', 'REX*2', 'REX/']"
4001090,4001090,KING STREET STA + BUS BAY B,38.805954,-77.060615,"['29K', '29K*1', '29N', '29N*1']"
4001093,4001093,KING STREET STA + BUS BAY E,38.805523,-77.06182,['28A']
4001108,4001108,E BRADDOCK RD + STATION ENTRANCE,38.812874,-77.054337,"['10A', '10B']"
4001109,4001109,E BRADDOCK RD + LINEAR PARK TRAIL,38.812747,-77.054405,"['10A', '10B']"
4001111,4001111,E GLEBE RD + POTOMAC AVE,38.832619,-77.048393,['MW1']
4001112,4001112,E GLEBE RD + POTOMAC AVE,38.832599,-77.048241,['MW1']
4001114,4001114,VAN DORN STREET STATION - BUS BAY G,38.799824,-77.12818,"['25B', '25B*1', '25B*2']"
4001116,4001116,N BEAUREGARD ST + KING ST,38.841487,-77.10791,"['7A', '7A*3', '7Y']"
5000116,5000116,OLD KEENE MILL RD + FIELD MASTER DR,38.772959,-77.255316,['18P']
5000117,5000117,OLD KEENE MILL RD + FIELD MASTER DR,38.773212,-77.255319,['18P']
5000119,5000119,OLD KEENE MILL RD + KEENE DR,38.773406,-77.259266,['18P']
5000122,5000122,OLD KEENE MILL RD + KEENE DR,38.773679,-77.259231,['18P']
5000124,5000124,OLD KEENE MILL RD + HUNTSMAN BLVD,38.774146,-77.24967,['18P']
5000125,5000125,OLD KEENE MILL RD + HARWOOD PL,38.774087,-77.210047,['18P']
5000126,5000126,OLD KEENE MILL RD + HUNTSMAN BLVD,38.774132,-77.248409,['18P']
5000128,5000128,OLD KEENE MILL RD + HARWOOD PL,38.774344,-77.210104,['18P']
5000129,5000129,OLD KEENE MILL RD + HUNTER VILLAGE DR,38.774375,-77.205731,['18P']
5000130,5000130,OLD KEENE MILL RD + TIVERTON DR,38.774552,-77.206389,['18P']
5000137,5000137,OLD KEENE MILL RD + GREELEY BLVD,38.775613,-77.215753,['18P']
5000140,5000140,OLD KEENE MILL RD + WESTMORE DR,38.775644,-77.2021,['18P']
5000143,5000143,OLD KEENE MILL RD + BYRON AVE,38.775939,-77.202193,['18P']
5000146,5000146,OLD KEENE MILL RD + GREELEY BLVD,38.776204,-77.216486,['18P']
5000150,5000150,OLD KEENE MILL RD + WYNGATE DR,38.776471,-77.243701,['18P']
5000152,5000152,OLD KEENE MILL RD + WYNGATE DR,38.776834,-77.2438,['18P']
5000156,5000156,OLD KEENE MILL RD + HASTINGS ST,38.777369,-77.19729,['18P']
5000157,5000157,SHIPLETT BLVD + TORRENCE ST,38.77744,-77.266464,['18P']
5000158,5000158,OLD KEENE MILL RD + HANOVER AVE,38.777659,-77.195407,['18P']
5000159,5000159,OLD KEENE MILL RD + LEE VALLEY DR,38.777684,-77.193867,['18P']
5000160,5000160,OLD KEENE MILL RD + ENGLISH IVY WAY,38.777709,-77.239403,['18P']
5000161,5000161,SHIPLETT BLVD + TORRENCE ST,38.777816,-77.265872,['18P']
5000164,5000164,OLD KEENE MILL RD + BAUER DR,38.778098,-77.241163,['18P']
5000165,5000165,OLD KEENE MILL RD + COMMERCE ST,38.778033,-77.191716,['18P']
5000167,5000167,OLD KEENE MILL RD + COMMERCE ST,38.778275,-77.192222,['18P']
5000168,5000168,OLD KEENE MILL RD + MILLWOOD DR,38.778244,-77.237082,['18P']
5000170,5000170,OLD KEENE MILL RD + JANSEN DR,38.778287,-77.220669,['18P']
5000171,5000171,OLD KEENE MILL RD + OLD KEENE MILL CT,38.778435,-77.237434,['18P']
5000172,5000172,OLD KEENE MILL RD + JANSEN DR,38.778486,-77.220422,['18P']
5000173,5000173,OLD KEENE MILL RD + SPRING RD,38.778407,-77.189326,['18P']
5000176,5000176,OLD KEENE MILL RD + ROLLING RD,38.778779,-77.234654,['18P']
5000177,5000177,OLD KEENE MILL RD + SPRING RD,38.778842,-77.188856,['18P']
5000178,5000178,CAPELLA AVE + LEE CHAPEL RD,38.778883,-77.275956,['18P']
5000179,5000179,OLD KEENE MILL RD + ROLLING RD,38.779021,-77.234748,['18P']
5000180,5000180,CAPELLA AVE + LEE CHAPEL RD,38.778996,-77.276026,['18P']
5000183,5000183,OLD KEENE MILL RD + BARDU AVE,38.7794,-77.222092,['18P']
5000184,5000184,OLD KEENE MILL RD + ROLLING RD,38.779488,-77.231397,['18P']
5000185,5000185,OLD KEENE MILL RD + ROLLING RD,38.779694,-77.231628,['18P']
5000188,5000188,SHIPLETT BLVD + ANDROMEDA DR,38.779736,-77.265517,['18P']
5000190,5000190,SHIPLETT BLVD + ANDROMEDA DR,38.779978,-77.265273,['18P']
5000191,5000191,OLD KEENE MILL RD + BARDU AVE,38.780104,-77.222955,['18P']
5000192,5000192,CAPELLA AVE + ORION CT,38.780059,-77.274889,['18P']
5000193,5000193,OLD KEENE MILL RD + CARRLEIGH PKY,38.78009,-77.228532,['18P']
5000194,5000194,CAPELLA AVE + ORION CT,38.780125,-77.275035,['18P']
2000100,2000100,MD-190 + WILSON LN,38.984006,-77.138527,['T2']
